USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
root             11803   0.0  0.1 435339920   6848   ??  Ss    9:56PM   0:01.46 /usr/libexec/triald_system
root             11802   0.0  0.0 435304928   2112   ??  Ss    9:56PM   0:00.09 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
root             11798   0.0  0.0 435341472   3920   ??  Ss    9:56PM   0:00.25 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
_softwareupdate  11797   0.0  0.1 435341248   4848   ??  Ss    9:56PM   0:00.17 /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Support/softwareupdated
root             11796   0.0  0.1 435339168   5408   ??  Ss    9:56PM   0:00.16 /System/Library/PrivateFrameworks/ModelCatalogRuntime.framework/Versions/A/modelcatalogd
_softwareupdate  11795   0.0  0.1 435356960   7232   ??  Ss    9:56PM   0:00.62 /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
root             11794   0.0  0.2 435427152  18624   ??  Ss    9:56PM   0:01.66 /usr/libexec/mobileassetd
mdkaif           11792   0.0  0.2 435370576  13968   ??  S     9:56PM   0:00.14 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
root             11790   0.0  0.1 435345872   8016   ??  Ss    9:56PM   0:00.23 /usr/libexec/wifip2pd
mdkaif           11787   0.0  0.1 435306208   6176   ??  S     9:56PM   0:00.09 /usr/libexec/gamecontrolleragentd
_gamecontrollerd 11786   0.0  0.1 435306112   6688   ??  Ss    9:56PM   0:00.11 /usr/libexec/gamecontrollerd
mdkaif           11783   0.0  0.1 435301488   4400   ??  S     9:56PM   0:00.06 /usr/libexec/feedbackd
mdkaif           11782   0.0  0.1 435357616  11312   ??  Ss    9:56PM   0:00.44 /System/Library/PrivateFrameworks/AppPredictionFoundation.framework/Versions/A/XPCServices/AppPredictionIntentsHelperService.xpc/Contents/MacOS/AppPredictionIntentsHelperService
