USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
mdkaif            4752   0.0  0.2 1951221152  16896   ??  S     3:17PM   0:03.16 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/mdkaif/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,5831284076259689790,3015139822094789511,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,8849898554361464377,17773763198564390202,4 --trace-process-track-uuid=3190708995682289984
mdkaif            3999   0.0  0.2 1951225344  18192   ??  S     3:16PM   0:04.11 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/mdkaif/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,5831284076259689790,3015139822094789511,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,8849898554361464377,17773763198564390202,4 --trace-process-track-uuid=3190708992871164437
mdkaif            3815   0.0  0.2 486026752  14688   ??  S     3:16PM   0:03.46 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-GB --service-sandbox-type=network --user-data-dir=/Users/mdkaif/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files --field-trial-handle=1718379636,r,5831284076259689790,3015139822094789511,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,8849898554361464377,17773763198564390202,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=33
mdkaif            3814   0.0  0.2 486107520  16528   ??  S     3:16PM   0:03.14 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper.app/Contents/MacOS/Code Helper --type=gpu-process --user-data-dir=/Users/mdkaif/Library/Application Support/Code --gpu-preferences=SAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAAwAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=1718379636,r,5831284076259689790,3015139822094789511,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,8849898554361464377,17773763198564390202,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=33
mdkaif            3813   0.0  0.1 485700160   4640   ??  S     3:16PM   0:00.04 /Applications/Visual Studio Code.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=/Users/mdkaif/Library/Application Support/Code/Crashpad --url=appcenter://code?aid=be71415d-3893-4ae5-b453-e537b9668a10&uid=9210c351-8ce1-4df9-8493-f71848b88c2e&iid=9210c351-8ce1-4df9-8493-f71848b88c2e&sid=9210c351-8ce1-4df9-8493-f71848b88c2e --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.135.0 --annotation=plat=OS X --annotation=prod=Electron --annotation=ver=42.8.1 --handshake-fd=21
mdkaif            3294   0.0  0.4 1951185504  35824   ??  S     2:55PM   0:12.68 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=55 --launch-time-ticks=5295729266 --shared-files --metrics-shmem-handle=1752395122,r,14469654970126774196,1189333771882733812,2097152 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190709037849173189 --seatbelt-client=312
mdkaif            3290   0.0  0.4 1949503120  30288   ??  S     2:55PM   4:59.47 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=52 --launch-time-ticks=5289197463 --shared-files --metrics-shmem-handle=1752395122,r,7778671267410177964,11488065646494108156,2097152 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190709035038047642 --seatbelt-client=321
mdkaif            3270   0.0  0.2 435407600  12624   ??  Ss    2:54PM   0:02.04 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
mdkaif            3200   0.0  0.2 486096976  18544   ??  S     2:53PM   0:01.46 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=video_capture.mojom.VideoCaptureService --lang=en-GB --service-sandbox-type=none --message-loop-type-ui --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --shared-files --metrics-shmem-handle=1752395122,r,3817191102190187057,11333819988663781285,524288 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190709011612001417
mdkaif            3196   0.0  0.2 486103424  16848   ??  S     2:53PM   0:03.82 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-GB --service-sandbox-type=audio --message-loop-type-ui --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --shared-files --metrics-shmem-handle=1752395122,r,15810319468496618642,6429297094972452117,524288 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190709010674959568 --seatbelt-client=413
mdkaif            3185   0.0  1.1 1949425728  90480   ??  S     2:53PM   1:22.75 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=22 --launch-time-ticks=5190209789 --shared-files --metrics-shmem-handle=1752395122,r,7942843245084877493,9350337295140832223,2097152 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190709006926792172 --seatbelt-client=205
mdkaif            3180   0.0  0.7 1949389328  61744   ??  S     2:53PM   0:06.62 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --top-chrome-webui --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=17 --launch-time-ticks=5189956651 --shared-files --metrics-shmem-handle=1752395122,r,12946288035102304246,14746972819391673325,2097152 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190709002241582927 --seatbelt-client=215
mdkaif            3148   0.0  0.3 486091552  21168   ??  S     2:53PM   0:01.99 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --shared-files --metrics-shmem-handle=1752395122,r,1767194003956804191,5234202672715531955,524288 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190708990060038890 --seatbelt-client=31
mdkaif            3146   0.0  0.7 486788320  56112   ??  S     2:53PM   3:32.71 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=gpu-process --metrics-client-id=d1143224-5991-4082-9a0f-e66fdaa19a0e --gpu-preferences=WAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAADAAAAAEAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --shared-files --metrics-shmem-handle=1752395122,r,6256870355384345398,10770716469606937490,262144 --field-trial-handle=1718379636,r,5301326886038922230,3924660642898798531,262144 --disable-features=CastStreamingAv1 --variations-seed-version=20260902-170030.594000-production --pseudonymization-salt-handle=1935764596,r,17654763889114016969,16788402315329195591,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=31
mdkaif            3144   0.0  0.1 485701472   4608   ??  S     2:53PM   0:00.06 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.66/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/mdkaif/Library/Application Support/Google/Chrome/Crashpad --metrics-dir=/Users/mdkaif/Library/Application Support/Google/Chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=152.0.7977.66 --handshake-fd=5
mdkaif            3142   0.0  2.2 537183072 180768   ??  S     2:53PM   4:35.21 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
root              3122   0.0  0.1 435340352   6304   ??  Ss    2:51PM   0:02.02 /usr/sbin/WirelessRadioManagerd
root              3079   0.0  0.1 435341312   5552   ??  Ss    2:49PM   0:00.82 /usr/libexec/wifivelocityd
mdkaif            3022   0.0  0.2 435351520  15344   ??  S     2:03PM   0:08.52 /usr/libexec/routined LAUNCHED_BY_LAUNCHD
mdkaif            2752   0.0  0.1 411100688   5984   ??  Ss   12:45PM   0:02.75 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTEncoderXPCService.xpc/Contents/MacOS/VTEncoderXPCService
mdkaif            1921   0.0  0.0 435301696   2224   ??  S    12:08PM   0:00.05 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdwrite
_diskimagesiod    1907   0.0  0.0 435394592   2928   ??  Ss   12:08PM   0:02.37 /usr/libexec/diskimagesiod
mdkaif            1780   0.0  0.1 435347248   6000   ??  S    12:00PM   0:01.59 /System/Library/PrivateFrameworks/People.framework/peopled
mdkaif            1635   0.0  0.1 435562320  10640   ??  S    11:54AM   0:01.14 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/universalAccessAuthWarn.app/Contents/MacOS/universalAccessAuthWarn launchd -s
mdkaif            1455   0.0  0.1 435291344   8016   ??  Ss   11:49AM   0:00.52 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
mdkaif            1436   0.0  0.1 435551328  11824   ??  S    11:48AM   0:02.15 /System/Library/CoreServices/UserNotificationCenter.app/Contents/MacOS/UserNotificationCenter
_diskimagesiod    1396   0.0  0.0 435390048   2928   ??  Ss   11:47AM   1:35.21 /usr/libexec/diskimagesiod
root              1324   0.0  0.1 435346192   7760   ??  Ss   11:44AM   0:01.38 /System/Library/Frameworks/ManagedAppDistribution.framework/Support/managedappdistributiond
_rmd              1313   0.0  0.0 435305328   1936   ??  S    11:44AM   0:00.56 /usr/sbin/distnoted agent
root              1270   0.0  0.0 435313296   1424   ??  Ss   11:43AM   0:00.06 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
mdkaif            1259   0.0  0.0 435305104   2688   ??  S    11:43AM   0:00.08 /System/Library/Frameworks/CoreSpotlight.framework/spotlightknowledged -x
_diskimagesiod    1215   0.0  0.0 435390400   2928   ??  Ss   11:43AM   0:01.61 /usr/libexec/diskimagesiod
mdkaif            1170   0.0  0.1 435375024   8528   ??  S    11:43AM   0:01.06 /System/Library/CoreServices/PowerChime.app/Contents/MacOS/PowerChime
root              1145   0.0  0.0 435304624   2176   ??  Ss   11:42AM   0:00.02 /System/Library/CoreServices/CrashReporterSupportHelper server-init
root              1122   0.0  0.0 435337984   2752   ??  Ss   11:42AM   0:00.14 /System/Library/CoreServices/SubmitDiagInfo server-init
mdkaif            1087   0.0  0.1 435354416   9328   ??  Ss   11:42AM   0:00.12 /System/Applications/Messages.app/Contents/Extensions/MessagesActionExtension.appex/Contents/MacOS/MessagesActionExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Nb2JpbGVTTVMuTWVzc2FnZXNBY3Rpb25FeHRlbnNpb24iLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MX0=
mdkaif            1086   0.0  0.1 435354368   4640   ??  Ss   11:42AM   0:00.07 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariLinkExtension.appex/Contents/MacOS/SafariLinkExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5TYWZhcmkuU2FmYXJpTGlua0V4dGVuc2lvbiIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlLCJ0eXBlIjoxfQ==
mdkaif            1085   0.0  0.1 435354944   4528   ??  Ss   11:42AM   0:00.07 /System/Applications/Calendar.app/Contents/Extensions/CalendarIntentsExtension.appex/Contents/MacOS/CalendarIntentsExtension -LaunchArguments eyJ0eXBlIjoxLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwic2VydmljZU5hbWUiOiJjb20uYXBwbGUuY2FsZW5kYXIuQ2FsZW5kYXJJbnRlbnRzRXh0ZW5zaW9uIn0=
mdkaif            1083   0.0  0.1 435348976   4592   ??  Ss   11:42AM   0:00.31 /System/Library/PrivateFrameworks/SiriSuggestionsSupport.framework/Versions/A/XPCServices/SiriSuggestionsBookkeepingService.xpc/Contents/MacOS/SiriSuggestionsBookkeepingService
root              1046   0.0  0.0 435340336   2912   ??  S    11:42AM   0:00.47 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
mdkaif             745   0.0  0.1 435341232   5968   ??  S    11:42AM   0:01.22 /System/Library/CoreServices/diagnostics_agent
_fpsd             1023   0.0  0.0 435316720   2000   ??  Ss   11:42AM   0:00.40 /System/Library/PrivateFrameworks/CoreFP.framework/Versions/A/fairplayd
_installcoordinationd  1019   0.0  0.0 435304768   1920   ??  S    11:42AM   0:00.55 /usr/sbin/distnoted agent
_applepay         1015   0.0  0.0 435305648   1920   ??  S    11:42AM   0:00.57 /usr/sbin/distnoted agent
_modelmanagerd    1010   0.0  0.0 435305632   1920   ??  S    11:42AM   0:00.57 /usr/sbin/distnoted agent
_modelmanagerd    1009   0.0  0.0 435305040   2128   ??  Ss   11:42AM   0:00.06 /System/Library/ExtensionKit/Extensions/HostInferenceProviderService.appex/Contents/MacOS/HostInferenceProviderService -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Ib3N0SW5mZXJlbmNlUHJvdmlkZXJTZXJ2aWNlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjh9
_gamecontrollerd  1007   0.0  0.0 435305456   1920   ??  S    11:42AM   0:00.58 /usr/sbin/distnoted agent
mdkaif             999   0.0  0.1 435354288   8624   ??  SN   11:42AM   0:07.45 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
_securityagent     995   0.0  0.0 435305728   1920   ??  S    11:42AM   0:00.58 /usr/sbin/distnoted agent
mdkaif             992   0.0  0.1 435419360   5568   ??  S    11:42AM   0:01.96 /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
mdkaif             991   0.0  0.1 435909344   7088   ??  S    11:42AM   0:23.42 /opt/homebrew/opt/mysql/bin/mysqld --basedir=/opt/homebrew/opt/mysql --datadir=/opt/homebrew/var/mysql --plugin-dir=/opt/homebrew/opt/mysql/lib/plugin --log-error=MDs-MacBook-Air.local.err --pid-file=MDs-MacBook-Air.local.pid
_driverkit         978   0.0  0.0 435239696    976   ??  Ss   11:42AM   0:00.03 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000eaf com.apple.IOUserBluetoothSerialDriver
mdkaif             974   0.0  0.1 435354848   4688   ??  Ss   11:42AM   0:00.02 /System/Applications/Tips.app/Contents/PlugIns/TipsWidgetExtension.appex/Contents/MacOS/TipsWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS50aXBzLldpZGdldCIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlLCJ0eXBlIjoxfQ==
mdkaif             968   0.0  0.1 435355984   4912   ??  Ss   11:42AM   0:00.03 /System/Library/CoreServices/PeopleViewService.app/Contents/PlugIns/PeopleWidget_macOSExtension.appex/Contents/MacOS/PeopleWidget_macOSExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5QZW9wbGVWaWV3U2VydmljZS5QZW9wbGVXaWRnZXQtbWFjT1MiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MX0=
mdkaif             965   0.0  0.1 435586528   4848   ??  Ss   11:42AM   0:00.07 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariWidgetExtension.appex/Contents/MacOS/SafariWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5TYWZhcmkuU2FmYXJpV2lkZ2V0RXh0ZW5zaW9uIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjF9
mdkaif             964   0.0  0.1 435355136   4688   ??  Ss   11:42AM   0:00.02 /System/Applications/Photos.app/Contents/PlugIns/PhotosReliveWidget.appex/Contents/MacOS/PhotosReliveWidget -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5QaG90b3MuUGhvdG9zUmVsaXZlV2lkZ2V0IiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjF9
mdkaif             959   0.0  0.1 435355616   9360   ??  Ss   11:42AM   0:00.05 /System/Applications/VoiceMemos.app/Contents/PlugIns/VoiceMemosSettingsWidgetExtension.appex/Contents/MacOS/VoiceMemosSettingsWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Wb2ljZU1lbW9zLlZvaWNlTWVtb3NTZXR0aW5nc1dpZGdldCIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlLCJ0eXBlIjoxfQ==
mdkaif             958   0.0  0.1 435354624   9296   ??  Ss   11:42AM   0:00.04 /System/Applications/VoiceMemos.app/Contents/PlugIns/RecordWidgetExtension.appex/Contents/MacOS/RecordWidgetExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Wb2ljZU1lbW9zLlJlY29yZFdpZGdldCIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlLCJ0eXBlIjoxfQ==
mdkaif             956   0.0  0.1 435356096   9680   ??  Ss   11:42AM   0:00.06 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetItems.appex/Contents/MacOS/FindMyWidgetItems -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5maW5kbXkuRmluZE15V2lkZ2V0SXRlbXMiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MX0=
mdkaif             954   0.0  0.1 435357504  10672   ??  Ss   11:42AM   0:00.08 /System/Applications/Home.app/Contents/PlugIns/HomeWidget.appex/Contents/MacOS/HomeWidget -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Ib21lLkhvbWVXaWRnZXQuSW50ZXJhY3RpdmUiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MX0=
mdkaif             949   0.0  0.1 435360192  10368   ??  Ss   11:42AM   0:00.06 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgetsSecure.appex/Contents/MacOS/JournalWidgetsSecure -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5qb3VybmFsLndpZGdldHMuc2VjdXJlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjF9
mdkaif             947   0.0  0.1 435358960  10704   ??  Ss   11:42AM   0:00.10 /System/Applications/Home.app/Contents/PlugIns/HomeEnergyWidgetsExtension.appex/Contents/MacOS/HomeEnergyWidgetsExtension -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Ib21lLkhvbWVFbmVyZ3lXaWRnZXRzIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjF9
mdkaif             944   0.0  0.1 435405728  10736   ??  Ss   11:42AM   0:00.11 /System/Applications/Podcasts.app/Contents/PlugIns/PodcastsWidget.appex/Contents/MacOS/PodcastsWidget -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5wb2RjYXN0cy53aWRnZXQiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZSwidHlwZSI6MX0=
mdkaif             942   0.0  0.1 435358080   9856   ??  Ss   11:42AM   0:00.06 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetPeople.appex/Contents/MacOS/FindMyWidgetPeople -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5maW5kbXkuRmluZE15V2lkZ2V0UGVvcGxlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjF9
mdkaif             938   0.0  0.1 435360032  11088   ??  Ss   11:42AM   0:00.13 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget -LaunchArguments eyJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5zdG9ja3Mud2lkZ2V0IiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2UsInR5cGUiOjF9
_accessoryupdater   911   0.0  0.0 435304960   1920   ??  S    11:42AM   0:00.58 /usr/sbin/distnoted agent
mdkaif             858   0.0  0.0 435340720   4144   ??  Ss   11:42AM   0:00.05 /System/Library/PrivateFrameworks/MobileTimer.framework/PlugIns/MobileTimerIntents.appex/Contents/MacOS/MobileTimerIntents -AppleLanguages ("en-IN", "en-GB")
